Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q31_11,Q31_12,Q31_13,Q31_14,Q31_15,Q31_16,Q31_17,Q31_18,Q31_19,Q31_20,Q31_21,Q31_22,Q31_23,Q31_24,Q31_25,Q31_26,Q31_27,Q31_28,Q31_29,Q31_30,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9,Q32_10,Q32_11,Q32_12,Q32_13,Q32_14,Q32_15,Q32_16,Q32_17,Q32_18,Q32_19,Q32_20,Q32_21
661,which ever gave the most points,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,3,2,2,3,2,4,4,3,2,4,2,3,4,3,4,3,3,2,3,3,2,1,2,3,1,2,2,2,2,4,2,3,1,2,2,3,2,2,3,3,3,2,2,3,2,1,2,1,1,2,1
677,no,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,4,2,4,4,1,1,3,4,4,4,2,4,4,1,4,1,1,1,2,4,1,1,1,2,1,2,2,1,4,4,3,4,1,1,4,1,4,1,4,4,1,4,2,1,4,2,4,1,1,4,2
678,"I chose to commit if the numbers were about 20 or more points apart. If less than 20, I chose to wait. ",1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,4,2,2,2,3,4,4,4,2,4,3,3,3,2,3,3,1,4,1,3,3,1,2,3,1,3,2,3,3,3,1,3,3,2,3,1,2,1,3,4,3,3,2,2,4,2,4,2,2,4,1
667,Yes. If the prices were both high I waited for the new prices to be revealed. Otherwise I chose to commit usually.,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,3,1,2,4,1,2,4,3,3,3,2,3,4,2,2,2,2,2,2,4,2,2,3,1,1,1,3,3,4,4,3,3,2,1,3,2,4,2,4,3,2,4,2,1,3,1,4,1,1,4,1
679,"normally, I commited when the difference between two bookstores was more distant and wait when the difference in price wasnt as noticeable",1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,3,3,3,3,3,3,1,2,3,2,1,2,2,2,2,3,1,3,1,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,3,3,3,2,3,3,3,2,2,3,3,3,1,3,3,2
680,I chose to wait if the difference in price was less than 10. I typically committed because I wasn't confident in my ability to hit the white square.,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,4,1,3,4,1,1,4,4,4,4,1,4,4,1,3,2,2,1,2,4,2,2,1,1,1,1,2,1,3,4,2,4,1,1,4,1,3,2,3,4,1,3,3,1,4,1,4,2,2,4,2
681,Usually I would choose to commit when there was a large difference in the two values and to wait when the values were similar. ,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,2,1,2,1,3,2,1,3,1,3,3,1,3,1,2,2,2,2,2,1,3,3,1,2,2,1,3,2,2,3,3,2,4,2,3,2,4,4,2,3,2,2,4,2,4,4,2,4,1
670,"Yes. I imagines that each bar could only go up or down by 20 points. If the difference was more than 20 I committed to the higher value as statistically it would always be more or equal to the lower value. When the difference between them was less than 20 then I waited because committing was essentially choosing randomly. With the wait I had a chance of using skill to pick the higher value, If i missed the white box then I am back to choosing randomly. Waiting is the same 50/50 chance ass commiting if I miss but th echance to hit the skill shot swings it into my favor. ",1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,3,3,2,1,3,3,3,1,3,3,2,3,3,2,1,2,2,1,2,1,2,1,2,2,2,3,3,3,4,2,2,4,2,4,1,3,4,1,3,1,4,4,2,3,1,2,4,4
567,"YES, if the difference is minimal, I would choose to wait, otherwise commit to the higher value at the moment",1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,1,3,3,1,2,4,4,3,3,2,3,4,1,3,2,2,2,3,3,2,2,2,2,1,2,2,3,1,4,3,3,2,2,3,2,4,1,2,3,1,3,3,1,3,2,4,3,2,3,1
682,"yes, if the price differnce is not ,much  I waited for new prices",1,2,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,4,1,3,3,2,3,4,4,4,3,3,4,4,2,3,2,2,2,2,3,2,3,3,1,2,3,3,2,4,3,2,2,1,1,2,1,2,3,4,2,2,3,2,1,2,1,1,2,1,2,1
683,"Not entirely, but if the values were close together it persuaded me to want to wait more. If the values were far apart I felt more confident in committing.",1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,3,1,2,3,2,4,3,3,2,3,4,3,3,1,2,2,2,3,2,3,3,3,1,1,1,3,2,2,4,3,2,3,2,1,3,2,2,2,4,3,3,4,2,2,3,2,4,3,2,4,1
684,I tried to wait for the higher initial payments and commit for the lower ones.,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,3,1,2,4,1,1,2,4,4,3,2,4,4,2,4,3,3,2,3,4,4,2,2,3,2,3,1,1,1,4,2,3,2,2,4,1,4,3,4,4,1,3,4,1,4,2,1,2,1,4,1
685,"I looked to see if the initial amount was over 30. When I chose to wait, the prices often went down so I stopped bothering to wait.",1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,4,1,2,2,1,1,4,4,4,4,2,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,3,1,4,3,3,3,2,4,3,4,4,1,4,4,1,4,1,4,1,1,4,1
687,"I saw that there was a pattern to how the prices fluctuated in respect to their differences. If the difference was high enough between them, I always chose the highest price as it was more likely that I would attain a higher rate. If the difference was small, I waited or chose randomly.",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,3,1,3,2,1,4,4,3,2,3,1,4,4,1,4,2,2,2,2,4,1,1,1,1,1,3,4,3,4,4,1,3,1,1,4,1,3,2,2,3,2,2,2,2,3,1,2,1,1,3,1
688,"Waited to commit when I saw a novel that was unfamiliar to me (not all the time though, only sometimes). Besides this, I had no real strategy besides doing whatever felt right.",1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,3,3,4,2,2,4,2,3,3,1,3,1,3,2,1,4,3,3,3,1,3,1,2,4,4,4,4,1,2,3,2,1,3,4,3,2,1,3,2,4,3,3,2,3,3,3,1,2,3,4
527,no,1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,3,1,1,2,1,3,3,3,3,4,1,3,3,1,4,2,2,1,2,3,2,1,3,1,1,3,3,1,4,3,2,3,1,1,3,1,2,1,4,3,2,2,1,1,4,1,1,1,1,4,3
689,I mostly pressed commit because if the prices are not too close(difference is more than 20) usually the highest price stays higher and also probably the code sometimes can not catch the space button press. And when I miss the byte square thing other than just one time the lowest price is picked by the computer. ,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,3,1,2,2,1,3,3,3,2,2,1,3,2,2,3,2,1,1,2,2,2,2,1,3,2,2,2,2,4,3,2,3,1,1,2,2,3,3,4,,3,4,2,2,4,2,3,1,2,3,4
690,"Yes, the higher price to commit and if the prices are lower, i would wait",1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,3,2,2,3,2,2,3,3,3,3,1,4,3,3,4,2,2,2,2,3,3,2,4,1,1,2,3,1,2,4,1,2,2,1,3,2,1,3,3,4,1,3,2,1,3,1,1,1,3,3,1
691,"If the difference in previous prices was 20 or over, I would commit to the higher one, because 80% of the time the price wouldn't change enough to make that one less profitable. Whenever the difference was less than 20, I would wait for the new prices. I did not let my ability to hit the white square impact this strategy given that it was the most statistically efficient way to achieve the best results.",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,4,2,3,4,3,4,2,1,2,1,2,3,4,4,4,2,2,3,3,2,3,4,1,2,3,4,2,2,2,3,3,2,1,1,4,1,2,2,2,3,4,2,2,1,4,1,1,2,2,3,2
692,"yes, i made sure to choose wait and the website with the highest price in the previous year",1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,4,1,2,3,2,3,4,4,2,3,1,4,4,3,4,2,1,2,1,4,2,3,2,3,1,4,1,2,3,4,1,3,2,2,4,1,3,2,2,4,3,4,4,2,4,1,4,1,2,4,2
595,If the difference between the two websites was more than 20 i decided to always commit,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,2,2,1,3,4,3,3,2,3,3,3,3,3,2,2,3,2,3,3,3,1,1,4,3,1,3,3,4,2,3,3,1,3,2,1,2,3,3,3,2,4,1,3,2,3,4,3,3,1
568,"Yes. So if the difference between two companies' last year's price is huge (let's say >=11), it's better to just commit the higher one because you may not get it when the new price appears. What's more, if both of last years' prices are lower than 50 (or around), it's better to pick the one with lower price for last year. If they are both over 50, just pick the higher one.",1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,2,3,4,2,3,2,3,3,3,2,2,2,2,3,2,2,1,3,3,2,4,2,3,4,3,2,2,4,4,2,2,1,1,2,3,3,1,3,2,2,2,2,1,2,2,2,1,1,2,2
478,"when the gap was high, i selected commit",1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,3,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,3,1,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,3,3,1
277,"if the price gap is over 30, I would commit to the more expensive one because even the price drops, it usually won't be over 30. Otherwise, I choose to wait",1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,3,2,2,3,4,3,2,3,3,3,4,2,1,2,2,3,3,2,1,1,2,1,1,2,4,4,1,4,2,3,2,1,3,2,2,2,1,4,2,3,4,1,3,1,3,4,1,3,1
695,when amounts are similar I will wait for price change. When prices have big difference I choose the higher one.,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,1,2,3,3,3,2,1,3,2,2,2,2,4,2,2,3,4,4,3,3,4,2,4,1,1,2,1,4,2
697,Commit if difference was large (usually over 20) or if both amounts were high,1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,3,2,3,2,4,2,2,2,4,3,3,2,2,2,2,3,2,2,2,1,3,2,2,2,2,2,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,2,2,3,3
505,"If the difference between the prices in the previous year was higher, I generally committed, but when the price difference wasn't a huge amount I decided to wait. Also, if the book was selling for a small amount I waited and when the books were being sold at a higher amount I committed.",1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,2,2,2,1,3,2,3,4,1,4,3,3,2,1,4,1,1,1,1,2,1,3,3,2,2,1,1,1,3,2,1,3,1,3,1,1,3,1,2,1,1,3,1,3
702,Yes I did. It was always better to wait than to commit as committing had no certainty whatsoever whereas if I chose to wait I would at least have a chance of ensuring that I selected the better price.,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,3,2,2,3,1,1,3,4,2,3,2,4,3,1,3,2,2,2,3,3,1,2,2,2,1,3,3,1,2,3,2,3,2,1,4,1,3,2,3,4,1,2,2,1,4,1,4,3,2,4,3
703,if the initial difference in price was less than 5 then I waited.,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,4,2,3,2,2,2,4,4,4,4,2,4,4,2,4,2,3,2,3,4,2,2,2,2,2,2,3,2,4,4,2,3,2,2,3,1,3,2,4,3,1,3,1,1,3,1,3,1,1,3,2
531,If it was under 60 points I committed because I didn't feel like wasting my time on lower points.,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,2,2,3,2,2,3,3,2,3,3,2,3,3,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2
698,"Yes. So if the price difference is very high, I will choose to commit and choose the higher price. If the price difference is small, I will choose to wait.",1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,4,2,3,3,1,2,4,4,4,3,1,3,4,2,3,2,2,2,2,3,2,2,2,2,2,2,2,1,4,4,2,4,2,1,3,1,2,3,4,4,2,3,3,2,4,1,3,2,3,3,2
704,"yes, I decided to stick with one strategy all the way through in this case being ""wait"" because I saw it as a way to maximize gains. It was uncertain anyway if you would be getting more when committing early and things felt out of my control. When I waited, however I had the power to tap quick enough to choose my selling price. ",1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,4,2,2,2,2,3,3,3,3,3,2,4,4,2,4,3,2,1,2,3,3,1,2,2,1,3,2,2,2,3,2,3,1,2,4,1,2,2,3,4,2,2,2,1,4,1,4,2,2,2,2
705,no,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,2,2,1,2,3,1,2,2,1,1,2,3,2,3,3,2,2,1,1,4,1,2,2,3,4,1,3,1,1,4,2,4,2,2,3,1
709,For the ones where the difference between the values wasn't a lot I waited because the new value could be anything whereas when the difference was more I picked the one with the higher value instantly because it was likely to be higher,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,3,1,2,3,2,3,2,3,2,3,1,4,4,3,3,1,1,1,2,3,1,1,3,3,1,3,3,2,4,3,2,4,3,1,4,1,3,2,4,4,3,3,2,1,4,1,3,2,2,4,2
710,"if the two books price were very close together for e.g. 54 and 49, i would take a chance and wait. Otherwise, I usually went with the higher priced store. ",1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,4,4,1,2,4,1,2,1,1,1,3,3,2,4,4,4,1,3,1,2,3,2,4,3,4,1,3,4,4,2,4,2,2,4,2,4,3,2,2,3,4,2,1,3,2,1,4,1,3,4
696,"the difference in ""points"" between each website's previous value",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,1,2,2,1,2,3,3,3,3,2,3,3,2,2,1,1,2,2,3,2,2,3,2,2,2,3,2,3,3,2,3,2,2,3,1,2,2,3,2,3,3,3,1,3,3,3,4,1,3,1
711,no,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
712,"yes, usually if the gap between the two books is large then it is more likely the higher number will increase ",1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,3,2,2,2,2,2,3,3,3,3,2,3,3,2,3,2,2,1,2,3,1,2,2,1,1,1,2,2,3,3,2,3,1,2,3,2,2,1,3,3,3,3,2,2,3,2,2,2,2,3,3
713,For a majority of them I chose wait because I noticed that I got lucky somehow with when the website was chosen for me. By the end I banked on my luck if I missed the white box.,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,4,1,2,2,1,1,3,3,4,2,1,3,2,2,4,3,2,2,1,3,2,2,1,1,1,1,1,1,3,4,2,4,2,1,4,1,2,1,4,4,2,3,1,1,4,2,3,1,1,4,2
546,"Yes, if one value was over 50 I would commit to that one. If both were under, I would wait",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,4,1,1,3,1,4,4,2,2,2,1,4,2,1,4,1,1,3,1,4,1,4,1,2,3,3,1,1,4,4,3,3,1,1,4,1,4,2,4,4,1,2,4,1,4,1,4,1,2,4,2
700,I didn't use the same strategy throughout; I ended up mostly choosing to commit if the difference was greater than 20.,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,3,4,3,2,2,3,3,3,2,4,2,3,2,2,3,1,3,2,2,2,4,4,3,4,1,3,2,4,1,3,3,2,1,3,3,3,2,3,1,3,2,3,2,3,3,2
714,I chose to wait most of the time since there was no way of telling whether the prices from last year would drastically drop or rise on either site,1,2,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,3,2,4,2,3,3,2,1,3,2,3,3,3,2,2,2,3,3,2,1,2,1,2,1,3,2,3,3,3,3,2,2,1,3,3,1,1,2,3,2,1,2,1,3,2,3,1,2,4,2
715,My choice came do the amount pf difference there was between the sites. Usually averaged 15 or higher to commit,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,3,2,4,2,1,3,3,3,3,3,2,4,3,2,3,2,2,1,1,3,1,1,1,1,2,3,2,1,3,3,1,2,1,1,3,1,2,1,2,2,1,3,2,2,2,1,3,1,2,3,1
716,"yes, when the prices were similar i chose to wait for new prices. but when they were drastically different i went with commit now",1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,3,1,2,2,1,2,3,4,3,3,1,3,2,1,3,1,2,2,1,3,2,2,1,1,1,2,3,1,3,2,2,4,2,1,4,2,3,3,4,4,4,4,3,2,4,2,4,2,2,4,3
717,Always choosing the highest number if it was a difference of 10.,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,4,1,2,3,1,2,4,4,4,4,2,4,4,1,3,2,1,1,2,3,1,1,1,2,2,1,2,2,3,4,1,3,1,1,4,1,4,2,4,4,1,4,2,1,4,1,4,3,2,4,2
707,"yes, I chose not to wait as waiting often lead to missing. also, I sometime chose the kower ption, when the difference wasnt much in hopes that it would increase",1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,4,3,1,2,2,3,4,3,2,2,2,4,4,3,2,1,2,2,2,4,1,2,1,2,1,3,1,2,1,3,1,2,2,1,1,1,1,4,3,4,2,1,2,1,4,1,1,3,2,4,2
718,difference between the two prices,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,4,2,3,2,1,3,3,4,3,3,2,4,4,1,4,2,2,2,2,3,1,1,1,3,1,1,3,1,4,3,2,4,2,1,4,1,4,2,3,4,4,4,4,1,4,1,4,2,1,4,2
719,"If the difference was less than about 10 or 12, I chose to wait because I felt like the values were close enough to gamble on waiting",1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,4,1,3,3,2,2,4,3,3,4,3,4,4,1,3,1,1,2,1,4,2,2,2,1,1,4,2,2,4,4,2,3,3,2,3,1,3,4,3,4,1,3,2,1,4,1,4,4,2,4,2
693,"If the values were close, I would normally choose to wait. However, as I began missing the white marker more and more often, I just decided to commit on nearly every book.",1,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,3,2,2,2,2,1,3,4,3,4,2,3,4,2,3,1,1,1,1,3,1,1,2,1,1,1,3,2,3,3,2,4,3,1,4,2,2,4,3,4,1,3,3,2,4,1,3,2,2,4,3
720,if the prices were too low i choose wait,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,3,2,3,2,3,3,3,3,3,3,2,3,3,2,1,2,2,2,1,4,1,1,3,1,1,2,3,1,2,4,2,4,2,2,2,1,3,3,3,2,1,3,3,1,2,2,3,2,3,4,3
722,yes. if the difference was 20 points or more I usually committed,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,4,1,4,3,1,2,4,4,4,4,4,4,4,2,3,2,2,2,2,3,1,2,1,1,1,2,2,3,2,3,2,4,2,2,4,1,3,1,4,4,1,4,2,1,4,2,4,2,2,4,3
723,"If values were above 50 points I usually committed, but if they were close in numbers or below 50 I usually waited",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,4,1,1,2,1,2,4,3,3,4,1,4,4,1,3,1,1,2,1,3,1,1,2,3,1,2,2,1,4,3,2,4,3,1,4,1,3,2,3,4,4,3,4,4,4,1,4,2,2,4,2
724,"At first I waited every single time, but I realized the timing was very finicky. I ended up waiting for books closer in value and committing to books set at a much higher prices than the other.",1,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,3,1,1,4,2,3,3,2,2,3,3,1,2,1,2,2,2,3,1,3,1,2,1,4,2,2,2,3,1,2,2,2,4,1,1,2,2,3,1,2,1,3,4,1,3,4,3,4,2
725,"yes, i waited if the prices were close together, less than four numbers apart. if there was a drastic difference between prices such as 8 or more numbers i committed to the higher one.",1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,3,1,4,4,2,4,4,3,2,3,2,2,2,3,2,3,3,2,3,3,2,2,1,2,1,4,2,2,2,4,3,3,2,2,4,2,2,2,3,4,3,2,4,3,4,2,4,2,3,4,2
726,"split, depending on the difference",1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,4,1,3,1,1,2,4,4,4,4,2,4,4,2,4,1,1,1,2,4,2,2,1,1,1,1,3,1,4,4,1,4,1,1,4,1,3,1,4,4,1,3,1,4,4,1,4,1,1,4,1
